Term,Description,Subsystem Tags,Documentation Tags,Associated Acronyms and Alternative Terms,Type
Julian Date,"The Julian Date (JD) of any instant is the Julian day number for the preceding noon (UTC), plus the fraction of the day elapsed since that instant. The Julian day number is a running sequence of integral days, starting at noon, since the beginning of the Julian Period; JD 0.0 corresponds to noon on 1 January 4713 BCE. Various Julian Date converters are available on the Web. For example, 18h 00m 00.0s UT on 2014-July-01 (near the start of LSST construction) corresponds to JD 2456840.25",Sci,,,G
K2, NASA mission that provides precise photometric data from numerous target fields in the ecliptic,Sci,,,G
Kubernetes,A system for automating application deployment and management using software containers (e.g. Docker); \url{https://kubernetes.io},DM,,,G
Lasair,"a broker for astronomers studying transient and variable astrophysical sources. It is being developed as a collaboration between the University of Edinburgh and Queen's University, Belfast to build a broker service for alerts generated by the LSST at the Vera Rubin Observatory. \url{https://lasair.roe.ac.uk/}",OPS,,,G
Level 1 Data Product,Deprecated term; see Prompt Data Product,DM,LPM-231,Prompt Data Product,G
Level 1 Processing,Deprecated term; see Prompt Processing,DM,LPM-231,Prompt Processing,G
Level 2 Data Product,Deprecated term; see Data Release Data Product,DM,LPM-231,Data Release Data Product,G
Level 2 Processing,Deprecated term; see Data Release Production,DM,LPM-231,Data Release Production,G
Level 3 Data Product,Deprecated term; see User Generated Data Product,DM,LPM-231,User Generated Data Product,G
Level 3 Processing,Deprecated term; see User Generated Processing,DM,LPM-231,User Generated Processing,G
LSST Camera,3.2 Gigapixel camera and lens system build by SLAC to perform the Legacy Survey of Space and Time,,,,G
LSST Change Request,"document that proposes a change to a configuration item; after evaluation by the CCB and decision by the Project Manager, the change request is updated with the outcome, action items, and necessary notification",Adm,,,G
LSST Corporation,"An Arizona 501(c)3 not-for-profit corporation formed in 2003 for the purpose of designing, constructing, and operating the LSST System. During design and development, the Corporation stewarded private funding used for such essential contributions as early site preparation, mirror construction, and early data management system development. During construction, LSST-DA will secure private operations funding from international affiliates and play a key role in preparing the scientific community to use the LSST dataset",Adm,,,G
LSST Project Office,Official name of the stand-alone AURA operating center responsible for execution of the LSST construction project under the NSF MREFC account,Adm,,,G
LSST Science Pipelines,software used to perform the LSST data reduction see \url{pipelines.lsst.io},Adm,,,G
M31,"also known as the Andromeda galaxy, can be seen with the naked eye in the constellation of Andromeda",Sci,,,G
"magnitude, Petrosian",A magnitude determined from a fit to a Petrosian brightness profile: Rp(r) = stuf f Appropriate for galaxies,Sci,,,G
"magnitude, Pogson","Usually simply magnitude, it is a logarithmic measure of integrated source brightness, usually within a standard photometric passband, such that: MM0=2.5log(F/F0) where the zero-point flux is defined by a photometric standard",Sci,,,G
"magnitude, PSF","For isolated stars that are well described by the PSF, the optimal measure of the total flux is determined by fitting a PSF model to the object",Sci,,,G
Major Research Equipment and Facility Construction,the NSF account through which large facilities construction projects such as LSST are funded,Adm,,,G
Manifest,Various files (and file formats) which define sets of build products having some shared attribute. There are release manifests which enumerate the eups-tags of all eups build products a the validated suite,Adm,,,G
Mapper,"A piece of software that abstracts persisting and unpersisting data; specifically, it knows how to navigate a data repository to locate data that match selection criteria that are relevant for data obtained with a particular camera. Used by the Butler",DM,,,G
metadata,"General term for data about data, e.g., attributes of astronomical objects (e.g. images, sources, astroObjects, etc.) that are characteristics of the objects themselves, and facilitate the organization, preservation, and query of data sets (e.g., a FITS header contains metadata)",DM,,,G
metric,"A measurable quantity which may be tracked. A metric has a name, description, unit, references, and tags (which are used for grouping). A metric is a scalar by definition. See also: aggregate metric, model metric, point metric",DM QA,DMTN-085,,G
metric value,The result of computing a particular metric on some given data. Note that metric values are typically computed rather than measured. See also: metric,DM QA,DMTN-085,,G
Micro-survey,"Mini-surveys whose use of observing time is up to 3% of LSST survey time for
regions outside of the baseline footprint. Examples include ToO follow-up to ID counterparts to GW sources, or short twilight visits for near-Sun objects incl. NEOs",OPS,,,G
middleware,Software that acts as a bridge between other systems or software usually a database or network. In the Data Management System this refers to Butler for data access and Workflow management for distributed processing,DM OPS,,,G
Mini-Broker,A tool provided by the LSST Science Platform that provides a limited amount of alert filtering capabilities,DM,LDM-612,,G
Mini-survey,"portions of the sky that will be observed with a different cadence to the main survey, but not necessarily to a greater depth, to address science goals beyond the scope of the main survey, e.g the Galactic Plane, Ecliptic, or South Pole. They are different to DDFs in that DDFs are single pointings",OPS,,,G
model metric,"A metric describing a model related to the data. For example, the coefficients of a 2D polynomial fit to the background of a single CCD exposure",DM QA,DMTN-085,,G
monitoring,"In DM QA, this refers to the process of collecting, storing, aggregating and visualizing metrics",DM QA,DMTN-085,,G
Moving Object Processing System,Deprecated term; see Solar System Processing,DM,,MOPS,G
My Database,The notion of having a local storage beside the queriable database to store either temporary tables or uploaded catalogs,DM Gen,,,G
National Science Foundation,"primary federal agency supporting research in all fields of fundamental science and engineering; NSF selects and funds projects through competitive, merit-based review",Adm,,,G
NCSA Facility,"The data center at the National Center for Supercomputing Applications (NCSA) in Urbana, Illinois, USA. The NCSA Facility is composed of the NCSA portion of the Prompt Enclave, the Offline Production Enclave hosting all offline Data Release and calibration activities, an Archive Enclave holding data products, and the US Data Access Center",DM,LDM-148,,G
New General Catalogue,an astronomical catalogue of deep-sky objects compiled by John Louis Emil Dreyer in 1888,Adm,,,G
Nightly Alert Processing,Deprecated term; see 'Alert Production',DM,,Alert Production,G
Nightly Archive Processing,Deprecated term; see 'Prompt Processing',DM,,Prompt Processing,G
Non-Standard Visit,"Any single observation of a LSST field that is not comprised of either two 15 second 'Snap' exposures (a standard visit) or one 30 second exposure (an alternative standard visit). For example, exposure times for Special Programs might be significantly shorter or longer than a standard visit (or of random length)",DM,DMTN-065,,G
nublado,The service underpinning the Notebook Aspect of the Rubin Science Platform,DM,,,G
Object,"In LSST nomenclature this refers to an astronomical object, such as a star, galaxy, or other physical entity. E.g., comets, asteroids are also Objects but typically called a Moving Object or a Solar System Object (SSObject). One of the DRP data products is a table of Objects detected by LSST which can be static, or change brightness or position with time",DM,"LDM-151, LSE-163",,G
Offer,"A response to a solicitation that, if accepted, would bind the offeror to perform the work described in resultant contract. Responses to sealed bidding are offers that are often referred to as 'bids' or 'sealed bids;' responses to a request for proposals (RFP, negotiated-type procurements) are offers often referred to as 'proposals' responses to a request for quotations (RFQ) are not offers and are generally called 'quotes'",Adm,,,G
open development,"A process for developing software that emphasizes all code contribution and decision-making be done in the open, available to as wide a group as possible (This usually means anyone with internet access)",DM,,,G
open source software,"Open source software is a type of software in which source code is released under a license in which the copyright holder grants users the rights to study, change, and distribute the software to anyone and for any purpose. Note that this is \emph{not} necessarily the same as open to contribution (see open development)",DM,,,G
OpenEXR,"a high dynamic range raster file format, released as an open standard along with a set of software tools created by Industrial Light & Magic (ILM) \url{http://www.openexr.com/index.html}",Sci,,,G
Operations,The 10-year period following construction and commissioning during which the Rubin Observatory conducts its survey,Adm,,,G
Operations Rehearsal,"A data management system prototype project employing the same methods, tools, personnel, and technologies as the real system in order to introduce and validate new algorithms, functionality, and infrastructure. Previously referred to as a data challenge",DM,,,G
Operations Simulation,"OpSim uses a sophisticated model to simulate 10 years of LSST operations using realistic seeing distributions, historical weather data, scheduled engineering downtime, and the most current telescope, dome, and camera design parameters. Under the direction of the Systems Engineering group, the OpSim group also works closely with the Telescope and Site group to ensure coordination with the OCS Scheduler development",Sims,,,G
Opportunity,"The degree of exposure to an event that might happen to the benefit of a program, project, or other activity. It is described by a combination of the probability that the opportunity event will occur and the consequence of the extent of gain from the occurrence, or impact. There are two levels of opportunities. At the macro level, a project itself is the manifestation of the pursuit of an opportunity. At the element level, tactical opportunities exist, whereby certain events, if realized, provide a cost or schedule savings to the project or increase technical performance",Adm,,,G
Opportunity Management,"The proactive art and science of planning, assessing, and handling future events to seek favorable impacts on project, cost, schedule, or performance to the extent possible.  Opportunity management is a structured, formal, and disciplined activity focused on the necessary steps and planning actions to determine and exploit opportunities to the extent possible",Adm,,,G
Overscan,"Refers to the portion of the channel read-out of either a) non photo-active pixels, or b) additional read-out of the serial register after all science pixels have been accumulated (sometimes called virtual overscan). The overscan is often appended to the science pixels in the assembled amplifier image as a separate region. This region is useful to science processing software for estimating the stability of the DC offset in the read-out electronics",CAM,,,G
Pan-STARRS1,the first telescope of the Panoramic Survey Telescope and Rapid Response System,Sci,,,G
parquet,see Apache Parquet,Sci,,,G
passband,"The window of wavelength or the energy range admitted by an optical system; specifically the transmission as a function of wavelength or energy. Typically the passband is limited by a filter. The width of the passband may be characterized in a variety of ways, including the width of the half-power points of the transmission curve, or by the equivalent width of a filter with 100% transmission within the passband, and zero elsewhere",Sci,,,G
patch,"An quadrilateral sub-region of a sky tract, with a size in pixels chosen to fit easily into memory on desktop computers",DM,LDM-151,sky patch,G
PhoSim,The Photon Simulator (PhoSim) simulate realistic astronomical images by tracing photons through the atmosphere and a telescope and camera into pixels,Sci,,,G
photometric redshift,"Often abbreviated to photo-z, this is an estimate of the true redshift (of a galaxy) determined from multi-band photometry. Generally determined from a fit of source colors to grid of model SEDs with redshift",Sci,,,G
pipeline,A configured sequence of software tasks (Stages) to process data and generate data products. Example: Association Pipeline,DM,,,G
PipelineTask,"A special kind of Task that can read its inputs and write its outputs using a Butler, in addition to being able to have them passed in and out directly as Python objects. PipelineTasks may be connected together dynamically and executed by a generic workflow system. PipelineTasks typically (but not always) delegate most of their work to nested regular Tasks",DM,"LDM-556, DMTN-055",supertask,G
Pitt-Google, a cloud-based alert distribution service designed to provide near real-time processing of data from large-scale astronomical surveys like the LSST. \url{https://pitt-broker.readthedocs.io},OPS,,,G
PLAnetary Transits and Oscillations of stars, the third medium-class mission in ESA's Cosmic Vision programme,Sci,,,G
point metric,"A metric that is associated with a single entry in a catalog. Examples include the shape of a source, the standard deviation of the flux of an object detected on a Coadd, the flux of an source detected on a difference image",DM QA,DMTN-085,,G
point spread function,"The point-spread function (PSF) is the distribution of intensity on a sensor (or image) originating from an unresolved point-source (i.e., a star). Often the PSF is not the same Airy shape as would be expected from a finite-aperture optical system, owing primarily to atmospheric effects and imperfections in the optical system and the detector",Sci,,PSF,G
Policy file,A structured ASCII file that contains set of attributes for input to a pipeline. Deprecated,Adm,,,G
postage stamp,"Image cutouts that are ~30x30 arcseconds, centered on an Object, and included in every Alert",DM,"LDM-151, LSE-163",,G
precovery,"The process of finding, or putting upper limits on, detections of a newly discovered DIAObject in previously obtained images, typically using forced photometry. Alert Packets will contain precovery data derived from the past 30 days of images that include the location of a new DIAObject",DM,LSE-163,,G
Predominantly Black Institution,"A college or university with at least 1,000 enrolled students, of whom at least 40% are Black or African American and at least 50% are low income or first generation to college",Gen,,,G
Preferred Version,"The default version of a document served to a DocuShare user. For change controlled documents, the preferred version represents the document's current, approved baseline. For other documents, the preferred version represents the most current iteration",Adm,,,G
Pretty Good Protocol,The high speed serial protocol the REBs use to talk to the DAQ over the fibers down the Telescope Mount Assembly,CAM,,,G
Primavera,The trade name for the project management software suite used by LSST to maintain its program plan and schedule,Adm,,,G
Processed Visit Image,"A calibrated, background-subtracted image from a single visit, packaged with quality mask and variance arrays, as well as a PSF characterization, detailed calibration data, and other metadata about the image",DM,"LDM-151, LSE-163",PVI,G
Procurement,"The activities involved with or the actual purchase, subcontract, lease, rent, or otherwise acquire supplies or services, and actions associated therewith",Adm,,,G
Project Execution Plan,"primary document defining how the LSST Project will be undertaken; it details the project's scope, activities, quality and technical specifications, resources, schedule, and organization",Adm,,,G
Project Management Controls Specialist,The person responsible for maintaining the Project Management Control System (PCMS); he or she works closely with the Project Manager and each of the Subsystem Managers,Adm,,,G
Project Management Controls System,"suite of tools used to organize and manage a project, including cost and schedule databases, a qualified accounting system, and change control",Adm,,,G
Project Management Office,the work element responsible for achieving the project's objectives,Adm,,,G
Project Manager,"The person responsible for exercising leadership and oversight over the entire Rubin project; he or she controls schedule, budget, and all contingency funds",Adm,,,G
Project Science Team,"an operational unit within LSST that carries out specific scientific performance investigations as prioritized by the Director, the Project Manager, and the Project Scientist. Its membership includes key scientists on the Project who provide specific necessary expertise. The Project Science Team provides required scientific input on critical technical decisions as the project construction proceeds",Adm,,,G
Project Scientist, The principal scientific advisor to the Rubin Project Manager to ensure that LSST system specifications are appropriate for achieving the scientific goals of the project; the Project Scientist also works closely with the Systems Engineering group and chairs the Rubin Science Council,Adm,,,G
Prompt Data Product,"Prompt Data Products are generated continuously based on the image stream from the telescope by the Prompt Processing system. They include low-latency alerts on transient and variable sources, as well as a variety of image data products and source catalogs. Compare Data Release Data Product",DM,"LDM-151, LSE-163, LPM-231",Level 1 Data Product,G
Prompt Processing,"The data processing which occurs at the Archive Center based on the stream of images coming from the telescope. This includes both Alert Production, which scans the image stream to identify and send alerts on transient and variable sources, and Solar System Processing, which identifies and characterizes objects in our solar system. It also includes specialized rapid calibration and Commissioning processing. Prompt Processing generates the Prompt Data Products",DM,"LDM-151, LSE-163, LPM-231",Level 1 Processing,G
Prompt Products DataBase,Data products within LSST data releases relating to LSST Alert Production,DM,,,G
provenance,"Information about how LSST images, Sources, and Objects were created (e.g., versions of pipelines, algorithmic components, or templates) and how to recreate them",DM,,,G
PSF match,"To convolve an image to obtain a desired point spread function (PSF), typically in order to match it to another image. For example, Template Images are PSF matched to the new image before image subtraction when Difference Images are created",DM,LDM-151,PSFMatch,G
QAWG,QA Strategy Working Group,DM QA,DMTN-085,,G
Qserv,"LSST's distributed parallel database. This database system is used for collecting, storing, and serving LSST Data Release Catalogs and Project metadata, and is part of the Software Stack",LSST DM,LDM-135,QSERV,G
Quality Assurance,"All activities, deliverables, services, documents, procedures or artifacts which are designed to ensure the quality of DM deliverables. This may include QC systems, in so far as they are covered in the charge described in LDM-622. Note that contrasts with the LDM-522 definition of ‚'QA' as ‚'Quality Analysis', a manual process which occurs only during commissioning and operations. See also: Quality Control",DM QA,"DMTN-085, LDM-622",QA,G
Quality Control,"Services and processes which are aimed at measuring and monitoring a system to verify and characterize its performance (as in LDM-522). Quality Control systems run autonomously, only notifying people when an anomaly has been detected. See also Quality Assurance",DM QA,"DMTN-085, LDM-522",QC,G
Raft,"The sensors in the LSST camera are packaged into replaceable electronic assemblies, called rafts, consisting of 9 butted sensors (CCDs) in a 3x3 mosaic. Each raft is a replaceable unit in the LSST camera. There are 21 science rafts in the camera plus 4 additional corner rafts with specialized, non-science sensors, making for a total of 189 CCDs per focal plane image. The 21 science rafts are numbered from '0,1' through '0,3' '1,0' through '3,4' and '4,1' through '4,3' (In other words, the 25 combinations from '0,0' through '4,4' minus the four corners which are non-science.)",CAM,,,G
Raft Data Service,"The software that receives the metadata in each readout RCE prior to receiving the pixel data from the REB. These metadata are queued, and if the REB doesn't produce data to match, the metadata will be attached to the wrong pixel data when some does arrive. Flushing RDS is shorthand for clearing this queue of metadata.",CAM,ref: Gregg Thayer,,G
Raw Image,"The output from a camera, consisting of a set of image sections from each amplifier on each sensor on the focal plane array, including overscan",DM,LDM-151,"C3 Image, Raw Camera Image, Raw Exposure",G
releasable product,A software package or other component of the DM system which is expected to be included in the next tagged release of the system. This implies inclusion in a standard top-level package. See also release-tag,DM QA,DMTN-085,,G
Release,"Publication of a new version of a document, software, or data product. Depending on context, releases may require approval from Project- or DM-level change control boards, at which point they then form part of the formal baseline",DM Adm,,,G
release-tag,Refers to a tag which groups an entire stack of packages that are verified as unit and package-integration tested; this is also an eups-tag,DM,https://developer.lsst.io/stack/eups-tutorial.html,eups-tag,G
Requirement,"A declaration of a specified function or quantitative performance that the delivered system or subsystem must meet.  It is a statement that identifies a necessary attribute, capability, characteristic, or quality of a system in order for the delivered system or subsystem to meet a derived or higher requirement, constraint, or function",Adm,,,G
Resource Allocation Sheet,Shows the detailed FTE loading to produce NOIRLab budgets,Adm,,,G
Retarget,"In the context of task construction, a task may substitute a class sub-task to change the behavior of a particular step in the processing",Adm,,,G
Review,"Programmatic and/or technical audits of a given component of the project, where a preferably independent committee advises further project decisions, based on the current status and their evaluation of it. The reviews assess technical performance and maturity, as well as the compliance of the design and end product with the stated requirements and interfaces",Adm,,,G
Review Committee,"A panel of independent reviewers performing a programmatic and/or technical audit of a given component of the project; committees consist of subject matter experts external to the reviewed team and preferably external to the LSST project. The committee submits a post-review report including findings (observations), comments (concerns), and recommendations (requests for action)",Adm,,,G
Review Data Package,"The set of documents and data to be made available to Review Committee members during a review of a project component; the package has two parts: management data and product data. Management data includes appropriately mature and detailed versions of management plans, budgets and/or cost estimates, schedule, and procurement plans. Product data includes appropriately mature and detailed versions of the product technical documentation such as requirements, ICDs, models and analysis reports, and integration and verification plans",Adm,,,G
Review Decision Making Authority,"The person responsible for a project component who calls a review and consequently makes programmatic and/or technical decisions based on the Review Committee's findings, comments, and recommendations",Adm,,,G
Review Hub,An LSST website that acts as a clearinghouse for information about external reviews of all LSST components planned to occur in the next six months. The site links to review-specific websites for both planned reviews and reviews that have been conducted already,Adm,,,G
Review Plan,"An enumeration of the necessary components for a proposed review of a project component; the review plan defines the Review Committee chair and members, the charge to the Review Committee, the Review Data Package, and the expected/required participants, including key team members presenting review material",Adm,,,G
right ascension,"Often abbreviated RA, it is a part of an equatorial coordinate pair that expresses the angular distance along the Celestial Equator. It is analogous to terrestrial longitude. RA increases to the east along the projection of the Earth's equator, from the origin (i.e., the Vernal Equinox). Positions are customarily expressed in degrees (0 < RA < 360), or hours (0 < RA < 24, usually in sexagesimal format)",Sci,,,G
Risk,"The degree of exposure to an event that might happen to the detriment of a program, project, or other activity. It is described by a combination of the probability that the risk event will occur and the consequence of the extent of loss from the occurrence, or impact. Risk is an inherent part of all activities, whether the activity is simple and small, or large and complex",Adm,,,G
Risk Management,"The art and science of planning, assessing, and handling future events to avoid unfavorable impacts on project cost, schedule, or performance to the extent possible. Risk management is a structured, formal, and disciplined activity focused on the necessary steps and planning actions to determine and control risks to an acceptable level. Risk Management is an event-based management approach to managing uncertainty",Adm,,,G
"Risk, Cost","The possibility that available budget will be exceeded. Cost risk exists if a) the project must devote more resources than planned to achieve technical requirements, b) the project must add resources to support slipped schedules due to any reason, c) if changes must be made to the number of items to be produced, or d) if changes occur in the organization or national economy. Cost risk can be predicted at the total project level or for a system element. The collective effects of element-level cost risk can produce cost risk for the total project",Adm,,,G
"Risk, Programmatic","Produced by events that are beyond the control of the project manager. These events often are produced by decisions made by personnel at higher levels of authority, such as reductions in project priority, delays in receiving authorization to proceed with a project, reduced or delayed funding, changes in organization or national objectives, etc. Programmatic risk can be a source of risk in any of the other three risk categories",Adm,,,G
"Risk, Schedule","The possibility that the project will fail to meet scheduled milestones. Schedule risk exists if there is inadequate allowance for acquisition delays or if difficulty is experienced in achieving scheduled technical accomplishments, such as the development of software. Schedule risk can be incurred at the total project level for milestones such as deployment of the first system element. The cascading effects of element-level schedule risks can produce schedule risk for the total project",Adm,,,G
"Risk, Technical","The possibility that a technical requirement of the system may not be achieved in the system life cycle. Technical risk exists if the system may fail to achieve performance requirements; to meet operability, producibility, testability, or integration requirements; or to meet environmental protection requirements. A potential failure to meet any requirement that can be expressed in technical terms is a source of technical risk",Adm,,,G
RRab,"RRL subgroup of fundamental-mode pulsators, most common and display the steep rises in brightness typical of RRL",Sci,,,G
RRc,RRL subgroup with shorter periods and more sinusoidal variation. These are the less common population of RRL,Sci,,,G
RRd,RRL subgroup of double mode pulsars and are the most rare RRL ,Sci,,,G
Rubin Operations,operations phase of Vera C. Rubin Observatory,OPS,,,G
Rucio,Rucio is a project that provides services and associated libraries for allowing scientific collaborations to manage large volumes of data spread across facilities at multiple institutions and organizations. Rucio has been developed by the ATLAS experiment,OPS,,,G
Safety,The control of accidental loss,Adm,,,G
Safety Council,A consulting body providing policy advice and evaluation of safety program effectiveness; the council is composed of independent safety professionals and representatives of LSST institutional members,Adm,,,G
Safety Manager,"The person who manages, executes, and verifies compliance with the LSST Safety Policy (LPM-18); the Safety Manager is also chair of the Safety Council",Adm,,,G
SAL script,"A program which communicates via SAL messages and adheres to a specific API, performing coordinated telescope and instrument control operations, such as 'slew to a target and take an image', or 'take a series of flats'",TS,,script queue,G
Satellite Facility,"The data center at CC-IN2P3 in Lyon, France",DM,LDM-148,,G
schema,The definition of the metadata and linkages between datasets and metadata entities in a collection of data or archive,DM,,,G
Science Advisory Committee,"An advisory body which provides a formal and two-way connection to the external science community served by LSST; comprised of scientists familiar with but external to the LSST Project, the SAC advises the LSST Director on both policy questions and technical topics of interest to the Project and the science community",LSST Adm,,,G
Science Collaboration,"An autonomous body of scientists interested in a particular area of science enabled by the LSST dataset, which through precursor studies, simulations, and algorithm development lays the groundwork for the large-scale science projects the LSST will enable.  In addition to preparing their members to take full advantage of LSST early in its operations phase, the science collaborations have helped to define the system's science requirements, refine and promote the science case, and quality check design and development work",Adm,,,G
Science Collaboration Chair,The leader of and spokesperson for a Science Collaboration,Adm,,,G
Science Data Quality Assessment,"An analysis system that examines and reports on the quality of LSST data and data products from a scientific perspective, and determines whether the data meets the science requirements in LPM-17",DM,LPM-17,SDQA,G
Science Pipelines,"The library of software components and the algorithms and processing pipelines assembled from them that are being developed by DM to generate science-ready data products from LSST images. The Pipelines may be executed at scale as part of LSST Prompt or Data Release processing, or pieces of them may be used in a standalone mode or executed through the Rubin Science Platform. The Science Pipelines are one component of the LSST Software Stack",DM,https://pipelines.lsst.io,Software Stack,G
Science Platform,"A set of integrated web applications and services deployed at the LSST Data Access Centers (DACs) through which the scientific community will access, visualize, and perform next-to-the-data analysis of the LSST data products",DM,LSE-319,,G
Science Quality Analysis Harness,provides a minimal infrastructure for monitoring the LSST verification metrics. It can be used and extended to preserve the code and knowledge developed during LSST construction \url{https://squash.lsst.codes/},DM,https://squash.lsst.codes/},,G
Science Verification,"The second phase of Commissioning for the LSST Construction Project, Science Verification demonstrates the system's compliance with the survey performance specifications detailed in the LSST Science Requirements Document (SRD, LPM-17). These activities are based solely on the measured 'on-sky' performance of the LSST system",DM,LPM-17,,G
SCons,A piece of software developed externally to LSST. An automated build tool used for DM software development. See the SCons website for details,DM,https://scons.org,,G
Scope,"The work needed to be accomplished in order to deliver the product, service, or result with the specified features and functions",Adm,,,G
script queue,"A CSC which manages SAL scripts, running one script at a time until the queue is exhausted or paused",TS,,SAL script,G
SDQA Metric,"The name of a quantity that is calculated for image data by SDQA-related pipeline processes (e.g., mean, standard deviation, number of saturated pixels, mean PSF width, etc.). Associated with the metric name are the physical units of the calculated quantity and whether the quantity's data type is integer or floating-point",DM,,,G
SDQA Rating,The value and error associated with an SDQA metric. An image can have a set of different SDQA ratings,DM,,,G
SDQA Status,"The status assigned to an image by the SDQA subsystem (e.g., pass, fail, unknown, etc.). Database tables that store image metadata will include a field containing an ID number that corresponds to an SDQA status",DM,,,G
SDQA Threshold,"The set of lower and upper thresholds associated with an SDQA Metric. Some metrics have only either a lower or upper threshold. In general, the thresholds depend on observing conditions (e.g., atmospheric seeing, filter, etc.)",DM,,,G
seeing,"An astronomical term for characterizing the stability of the atmosphere, as measured by the width of the point-spread function on images. The PSF width is also affected by a number of other factors, including the airmass, passband, and the telescope and camera optics",Sci,,,G
Sensor,"A sensor is a generic term for a light-sensitive detector, such as a CCD. For LSST, sensors consist of a 2-D array of roughly 4K$\times$4K pixels, which are mounted on a raft in a 3$\times$3 mosaic. Each sensor is divided into 16 channels or amplifiers. The 9 sensors that make up a raft are numbered from '0,0' through '2,2'",CAM,,,G
shape,"In reference to a Source or Object, the shape is a functional characterization of its spatial intensity distribution, and the integral of the shape is the flux. Shape characterizations are a data product in the DIASource, DIAObject, Source, and Object catalogs",DM,,,G
SHE Plans,"SHE plans are site-specific guidelines for safe working conditions. LSST expects that each collaborating organization and contractor has established safety programs to govern the specific activities at that location. LSST has a minimum expectation for the criteria established in these plans and expects all staff, permanent to the location or visiting, to follow these local procedures. When LSST specific sites are established the project will issue specific SHE plans for those locations",Adm,,,G
Signature Authority,The individual designated by the LSST-DA policy as authorized to approve the use of funds from a specific account; he or she must approve each Purchase Requisition for the account listed on the Purchase Requisition,Adm,,,G
Simonyi Survey Telescope,"The telescope at the Rubin Observatory that will perform the LSST (this refers to all physical components: the mirror, the mount assembly, etc.)",,,SST,G
Simulations Lead,"The person who oversees the activities of the LSST simulations efforts (ImSim, OpSim, PhoSim, etc.). The Simulations Lead is part of the Systems Engineering group and reports to the Systems Engineering Manager",Sims Adm,,,G
Single Visit Image,See CalExp,DM,,"SVI, CalExp",G
Singularity,A software containerization system; an alternative to Docker; \url{https://sylabs.io},DM,,,G
Site Manager,"The LSST-delegated representative at the Cerro Pach\'{o}n, Chile Summit site who is authorized to approve and accept work, provide technical liaison, monitor safety, and interpret LSST plans and specifications on behalf of AURA/LSST",Adm,,,G
sky map,"A sky tessellation for LSST. The Stack includes software to define a geometric mapping from the representation of World Coordinates in input images to the LSST sky map. This tessellation is comprised of individual tracts which are, in turn, comprised of patches",DM,LDM-151,,G
SLAC National Accelerator Laboratory,"A national laboratory funded by the US Department of Energy (DOE); SLAC leads a consortium of DOE laboratories that has assumed responsibility for providing the LSST camera. Although the Camera project manages its own schedule and budget, including contingency, the Camera team's schedule and requirements are integrated with the larger Project.  The camera effort is accountable to the LSSTPO",TS,,,G
Sloan Digital Sky Survey,"is a digital survey of roughly 19,000 square degrees of sky around the north Galactic pole, plus a ~300 square degree stripe along the celestial equator",Sci,,,G
Snap,One 15 second exposure within a Standard Visit in the LSST cadence,DM,,,G
software,The programs and other operating information used by a computer,DM,,,G
Software Stack,"Often referred to as the LSST Stack, or just The Stack, it is the collection of software written by the LSST Data Management Team to process, generate, and serve LSST images, transient alerts, and catalogs. The Stack includes the LSST Science Pipelines, as well as packages upon which the DM software depends. It is open source and publicly available",DM,https://pipelines.lsst.io,"The Stack, Science Pipelines",G
Solar System Object,"A solar system object is an astrophysical object that is identified as part of the Solar System: planets and their satellites, asteroids, comets, etc. This class of object had historically been referred to within the LSST Project as Moving Objects",DM,LSE-163,SSObject,G
Solar System Processing,"A component of the Prompt Processing system, Solar System Processing identifies new SSObjects using unassociated DIASources",DM,"Jones et al. (2016), IAUS,318, 282.",SSP,G
Sole Source,"A purchase of a commodity or a service that is noncompetitive in price, specifications, or use; or is 'only source' and must be accompanied by a sole source justification",Adm,,,G
Sole Source Justification,A document accompanying a Purchase Requisition that provides the justification(s) for procuring the items must be from the single vendor listed on the Purchase Requisition,Adm,,,G
Source,"A single detection of an astrophysical object in an image, the characteristics for which are stored in the Source Catalog of the DRP database. The association of Sources that are non-moving lead to Objects; the association of moving Sources leads to Solar System Objects. (Note that in non-LSST usage 'source' is often used for what LSST calls an Object.)",DM,"LSE-163, LDM-151",,G
Source Association,"The process of associating source detections on multiple images taken at different epochs, or in multiple passbands, with a single astronomical Object",DM,LDM-151,,G
source footprint,"A set of pixels that are determined to be part of a Source (or DIASource). It is implemented as a list of spans. A span contains coordinates of a stripe of pixels: row (y) given span belongs to, and a section of a column (xStart, xEnd). In DM code, the term 'footprint' refers to a 'source footprint'",DM,LDM-151,,G
Speakers Bureau,"A volunteer body promoting LSST's visibility by identifying, initiating, and coordinating opportunities for LSST-related talks, especially at large conferences",Adm,,,G
Speakers Bureau Website,"An LSST website used by the LPO as a tool for screening and approving participation of LSST project personnel at various externally hosted meetings; the site also provides a mechanism for the Speakers Bureau to accept speaker requests, coordinate speakers, and maintain a record of requests received and talks given.  With this tool the Director and Project Manager can review and approve/deny requests for LSST financial support for travel before such meetings occur.  Project personnel use the site to report their intended participation in a meeting even if they are requesting neither a speaker nor LSST funding",Adm,,,G
Special Program,Any LSST mini-survey or deep drilling field that is observed independently of the Wide-Fast-Deep (WFD) main survey,DM,DMTN-065,,G
Specification,One or more performance parameter(s) being established by a requirement that the delivered system or subsystem must meet,Adm,,,G
Spectral Energy Distribution,the radiated energy of an astrophysical object as a function of energy (or wavelength) across the entire spectrum of light,Sci,,,G
